Name,smiles
PES_Ph_Ph_Water_gas_TS1,O.O=C(NNC(=O)c1ccccc1)Nc1ccccc1.[HH]
PES_Ph_Bz_Dimer_gas_TS1,NNC(=O)c1ccccc1.O=C(NNC(=O)c1ccccc1)NC(=O)c1ccccc1.O=CNC(=O)c1ccccc1
PES_Ph_Bz_Dimer_gas_INT1,O=C(NNC(=O)c1ccccc1)NC(=O)c1ccccc1.O=C(NNC(=O)c1ccccc1)NC(=O)c1ccccc1
PES_Ph_Bz_Dimer_gas_PC1,NNC(=O)c1ccccc1.O=C(NNC(=O)c1ccccc1)NC(=O)c1ccccc1.O=C=NC(=O)c1ccccc1
PES_Me_Ph_Dimer_gas_TS1,CC(=O)NN.CC(=O)NNC(=O)Nc1ccccc1.O=C=Nc1ccccc1.[HH]
PES_Me_Ph_Dimer_gas_INT1,CC(=O)NNC(=O)Nc1ccccc1.CC(=O)N[NH2]C(=O)Nc1ccccc1
PES_Me_Ph_Dimer_gas_PC1,CC(=O)NN.CC(=O)NNC(=O)Nc1ccccc1.O=C=Nc1ccccc1
PES_Me_Ph_Dimer_gas_RC1,CC(=O)NNC(=O)Nc1ccccc1.CC(=O)NNC(=O)Nc1ccccc1
PES_Me_Bz_Water_gas_TS1,CC(=O)NNC(=O)NC(=O)c1ccccc1.O.[HH]
PES_Me_Me_Unimolecular_dmso_Linear_TS1,CNC(=O)NNC(C)=O.[HH]
PES_Me_Ph_Water_chloroform_TS1,CC(=O)N[NH2]C(=O)Nc1ccccc1.O
PES_Ph_Me_Benzylamine_chloroform_TS2,Cnc(o)NNC(=O)c1ccccc1.NCc1ccccc1.[HH]
PES_Ph_Me_Benzylamine_chloroform_INT1,Cnc(o)NNC(=O)c1ccccc1.[NH3]Cc1ccccc1
PES_Ph_Me_Benzylamine_chloroform_RC1,CNC(=O)NNC(=O)c1ccccc1.NCc1ccccc1
